Date_DD_MM_YY	Date_YYYY_MM_DD	Latitude	Longitude	Place	Value
23-Jun-57	19570623	-68.57661111	77.96738889	Davis	1010
6-Jul-57	19570706	-68.57661111	77.96738889	Davis	1050
12-Jul-57	19570712	-67.60269444	62.87380556	Mawson	1080
20-Jul-57	19570720	-68.57661111	77.96738889	Davis	1140
21-Jul-57	19570721	-67.60269444	62.87380556	Mawson	1180
29-Jul-57	19570729	-67.60269444	62.87380556	Mawson	1245
2-Aug-57	19570802	-67.60269444	62.87380556	Mawson	1275
3-Aug-57	19570803	-68.57661111	77.96738889	Davis	1310
9-Aug-57	19570809	-67.60269444	62.87380556	Mawson	1320
17-Aug-57	19570817	-68.57661111	77.96738889	Davis	1400
17-Aug-57	19570817	-67.60269444	62.87380556	Mawson	1365
23-Aug-57	19570823	-67.60269444	62.87380556	Mawson	1410
31-Aug-57	19570831	-68.57661111	77.96738889	Davis	1470
31-Aug-57	19570831	-67.60269444	62.87380556	Mawson	1435
14-Sep-57	19570914	-68.57661111	77.96738889	Davis	1470
14-Sep-57	19570914	-67.60269444	62.87380556	Mawson	1505
16-Sep-57	19570916	-67.60269444	62.87380556	Mawson	1510
20-Sep-57	19570920	-67.60269444	62.87380556	Mawson	1530
27-Sep-57	19570927	-68.57661111	77.96738889	Davis	1600
27-Sep-57	19570927	-67.60269444	62.87380556	Mawson	1550
4-Oct-57	19571004	-67.60269444	62.87380556	Mawson	1550
12-Oct-57	19571012	-68.57661111	77.96738889	Davis	1650
12-Oct-57	19571012	-67.60269444	62.87380556	Mawson	1545
18-Oct-57	19571018	-67.60269444	62.87380556	Mawson	1525
26-Oct-57	19571026	-68.57661111	77.96738889	Davis	1620
26-Oct-57	19571026	-67.60269444	62.87380556	Mawson	1510
1-Nov-57	19571101	-67.60269444	62.87380556	Mawson	1520
8-Nov-57	19571108	-67.60269444	62.87380556	Mawson	1480
9-Nov-57	19571109	-68.57661111	77.96738889	Davis	1690
15-Nov-57	19571115	-67.60269444	62.87380556	Mawson	1470
22-Nov-57	19571122	-67.60269444	62.87380556	Mawson	1460
23-Nov-57	19571123	-68.57661111	77.96738889	Davis	1680
30-Nov-57	19571130	-67.60269444	62.87380556	Mawson	1400
6-Dec-57	19571206	-67.60269444	62.87380556	Mawson	1370
7-Dec-57	19571207	-68.57661111	77.96738889	Davis	1540
13-Dec-57	19571213	-67.60269444	62.87380556	Mawson	1350
20-Dec-57	19571220	-67.60269444	62.87380556	Mawson	1270
8-Jan-58	19580108	-67.60269444	62.87380556	Mawson	1156
14-Jan-58	19580114	-67.60269444	62.87380556	Mawson	1041
17-Jan-58	19580117	-67.60269444	62.87380556	Mawson	1029
21-Jan-58	19580121	-67.60269444	62.87380556	Mawson	927
28-Jan-58	19580128	-67.60269444	62.87380556	Mawson	889
29-Jan-58	19580129	-67.60269444	62.87380556	Mawson	1
2-Feb-58	19580202	-67.60269444	62.87380556	Mawson	845
6-Feb-58	19580206	-67.60269444	62.87380556	Mawson	810
11-Feb-58	19580211	-67.60269444	62.87380556	Mawson	724
9-Mar-58	19580309	-68.57661111	77.96738889	Davis	1
17-Mar-58	19580317	-68.57661111	77.96738889	Davis	102
25-Mar-58	19580325	-68.57661111	77.96738889	Davis	178
30-Mar-58	19580330	-68.57661111	77.96738889	Davis	1
2-Apr-58	19580402	-67.60269444	62.87380556	Mawson	1
3-Apr-58	19580403	-68.57661111	77.96738889	Davis	1
4-Apr-58	19580404	-67.60269444	62.87380556	Mawson	80
7-Apr-58	19580407	-68.57661111	77.96738889	Davis	191
11-Apr-58	19580411	-68.57661111	77.96738889	Davis	305
18-Apr-58	19580418	-68.57661111	77.96738889	Davis	368
22-Apr-58	19580422	-68.57661111	77.96738889	Davis	406
25-Apr-58	19580425	-68.57661111	77.96738889	Davis	445
29-Apr-58	19580429	-68.57661111	77.96738889	Davis	533
30-Apr-58	19580430	-67.60269444	62.87380556	Mawson	686
2-May-58	19580502	-68.57661111	77.96738889	Davis	584
