36	2040	1988	0.07	0.19	0.1	0.17	0.17	0.12	0.09	0.1	0.22	0.16	0.11	0.1	0.22	353	95	1	32.8364	-117.1289	135
37	2040	1989	0.08	0.13	0.23	0.12	0.1	0.16	0.16	0.09	0.16	0.12	0.15	0.1	0.23	353	97	1	32.8364	-117.1289	135
38	2040	1990	0.08	0.1	0.14	0.13	0.13	0.15	0.1	0.09	0.1	0.2	0.09	0.07	0.2	337	93	1	32.8364	-117.1289	135
39	2040	1991	0.08	0.13	0.13	0.14	0.15	0.09	0.09	0.1	0.13	0.18	0.1	0.06	0.18	360	99	1	32.8364	-117.1289	135
40	2040	1992	0.06	0.09	0.09	0.16	0.09	0.13	0.08	0.13	0.16	0.11	0.09	0.05	0.16	351	96	1	32.8364	-117.1289	135
41	2040	1993	0.058	0.072	0.078	0.116	0.082	0.118	0.097	0.084	0.146	0.136	0.089	0.063	0.146	342	92	1	32.8364	-117.1289	135
42	2040	1994	0.06	0.07	0.08	0.09	0.082	0.087	0.071	0.093	0.102	0.101	0.082	0.065	0.102	357	99	1	32.8364	-117.1289	135
43	2040	1995	0.058	0.091	0.084	0.09	0.068	0.093	0.12	0.1	0.102	0.1	0.106	0.077	0.12	350	96	1	32.8364	-117.1289	135
44	2040	1996	0.06	0.054	0.095	0.1	0.096	0.12	0.09	0.097	0.067	0.078	0.07	0.042	0.12	325	82	1	32.8364	-117.1289	135
45	2040	1997	0.046	0.066	0.106	0.08	0.089	0.073	0.112	0.095	0.102	0.115	0.096	0.044	0.115	357	99	1	32.8364	-117.1289	135
46	2040	1998	0.071	0.059	0.075	0.082	0.07	0.057	0.105	0.125	0.078	0.092	0.079	0.049	0.125	355	98	1	32.8364	-117.1289	135
47	2040	1999	0.053	0.103	0.104	0.093	0.073	0.073	0.081	0.082	0.069	0.1	0.074	0.047	0.104	342	93	1	32.8364	-117.1289	135
48	2040	2000	0.049	0.051	0.088	0.106	0.071	0.075	0.067	0.072	0.118	0.08	0.066	0.059	0.118	360	99	1	32.8364	-117.1289	135
49	2040	2001	0.058	0.048	0.106	0.085	0.106	0.081	0.07	0.072	0.135	0.111	0.073	0.057	0.135	356	98	1	32.8364	-117.1289	135
50	2040	2002	0.048	0.064	0.065	0.074	0.088	0.074	0.07	0.083	0.112	0.089	0.075	0.054	0.112	351	99	1	32.8364	-117.1289	135
