Index	Date	Site	Latitude	Longitude	O3
133	20050808	3157	39.3181	-120.8456	0.083
134	20050808	3158	40.2622	-122.0928	0.08
135	20050808	3161	37.5466	-119.8416	0.068
136	20050808	3168	33.9208	-116.8583	0.077
137	20050808	3172	34.4166	-119.2458	0.077
138	20050808	3178	32.5136	-117.1163	0.048
139	20050808	3183	32.3533	-117.0558	0.046
140	20050808	3186	33.2136	-115.5453	0.066
141	20050808	3187	38.683	-121.1644	0.102
142	20050808	3196	38.8906	-121	0.111
143	20050808	3197	40.1749	-122.2366	0.079
144	20050808	3198	33.2169	-117.3961	0.047
145	20050808	3200	36.9839	-121.9908	0.037
146	20050808	3209	38.4719	-121.2277	0.067
147	20050808	3211	36.8672	-120.01	0.071
148	20050808	3215	35.7744	-117.3722	0.072
149	20050808	3223	38.6366	-121.5144	0.1
150	20050808	3249	38.6605	-121.7305	0.071
151	20050808	3251	35.0316	-120.5008	0.038
152	20050808	3255	32.575	-116.6186	0.074
153	20050808	3265	33.6297	-117.6755	0.075
154	20050808	3415	38.2269	-122.0758	0.035
155	20050808	3484	36.4911	-118.8341	0.1
156	20050808	3486	34.943	-120.4355	0.036
157	20050808	3487	38.8117	-120.0331	0.058
158	20050808	3489	36.6941	-121.6233	0.035
159	20050808	3490	37.68	-121.78	0.049
160	20050808	3491	39.7141	-121.6177	0.079
161	20050808	3500	34.5122	-117.325	0.084
162	20050808	3502	34.3833	-118.5283	0.112
163	20050808	3505	34.4044	-118.8097	0.082
164	20050808	3507	37.3558	-122.0511	0.028
165	20050808	3658	34.6713	-118.1305	0.111
166	20050808	3661	37.3483	-121.8947	0.037
167	20050808	3664	37.743	-119.5938	0.051
168	20050808	3665	34.4278	-119.6908	0.044
169	20050808	3668	37.9602	-122.3566	0.027
170	20050808	3673	33.6121	-114.6005	0.053
171	20050808	3674	33.8306	-117.9384	0.08
172	20050808	3678	38.3583	-121.95	0.044
173	20050808	3683	33.9508	-118.0433	0.059
174	20050808	3685	38.9102	-119.9952	0.055
175	20050808	3690	32.7013	-117.1527	0.054
